cluster_id,x,y,content
0,-1.1720396,0.115222484,"""""""首先这是百度 不是谁想来就能来的"""""""" 霍 好大的口气 丢了苹果ai单基本就是温水煮青蛙等死了"""
0,-0.04130532,-0.014336546,0【长按复制这条邀请码消息，打开小红书即可加入该群】
0,0.037953086,0.0002614925,0.0
0,-0.46798465,-0.011789307,0做到1，和1做到100，除了运气外还观察到有什么共有的特征[暗中观察R]
1,-10.744703,-1.4950681,1. 如果你本科学校好， 研究生学校也好， 可读可不读， 能找到不错的工作就没必读了； 2. 如果你本科学校好，研究生学校不好，那就最好别读了； 3. 如果你本科学校不好，研究生学校好，那必须读。 4. 如果你本科和研究生学校都不好， 那读不读都一样，毕业都是去工厂打螺丝或者送外卖，早点出来赚钱也不错。
1,-3.915224,-0.06277214,1. 面子算个鸡毛2考公三不限很卷，到手工资未必多高，体制内照样无偿加班3. 你这行最合适干自媒体，就这条路稍微靠谱点4. 我觉得你说外企撤退但没注意到太仓附近中小德企是逐步增加的，还有机会5. 非全除非你是国企或体制内不然没啥用6. 考上硕士就能当行政老师的话那全国每年那么多毕业即失业的应届硕士呢
0,-2.0927484,-0.031286623,1.让我一个外行能混进完全没考虑过的行业，比本专业有前途亿些 2.英语比别人好一点能处理部分涉外工作，这种东西一接手别人就很难替代了
0,-2.001388,-0.26011673,1.逃避工作；2.找不到工作；3.说出去好听
0,0.0,0.0,1200的房 是在房山吗
1,-9.574297,0.16443492,14k[哭惹R] 老大你的工资好高[哭惹R] 我跟你经历有点像，也是985本科延毕两年毕业，成绩很差，去年找工作特别焦虑随便进了个国企，现在我管培结束，续签还降了几百，到手现在也就5k了[哭惹R] （比较大的公司吧，集团是世界500强，但是公司前景不太妙）进来一年感觉没学到多少东西，基本都是做行政的工作，虽然后面半年是比较清闲了，但是工资真的太少了[哭惹R] 我想跑路了[哭惹R]
1,-5.2535152,-0.18354233,17年前只有这一种在职研究生，很多体制内都是通过在职教师大多数会选择同硕这种方式提升，只是17年后才有统考非全，大家觉得没有含金量了，但是身边单位上的人读同硕的比比皆是。如果有学习能力和精力就考12月统考，没有就选同硕。同硕的落户积分等政策一直都有。
0,-0.44135928,-0.03225948,1中央国债登记；2证监会旗下股票和期货交易所；3交易商协会、中债增中债资信；4证券业协会，基金协会，银行协会；4中投中央汇金三大政策性银行；主要就这些吧，遗漏请补充。
0,-0.94134045,-0.1549947,2024本科毕业人数450万左右，考研人数438万
